Country name,Agricultural land under irrigation (percent of total ag. land),Cereal yield (kg per hectare),Foreign direct investment net inflows (percent of GDP),Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $),Energy use per capita (kilograms of oil equivalent),CO2 emissions total (KtCO2),CO2 emissions per capita (metric tons),CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $),GHG net emissions/removals by LUCF (MtCO2e),Population in urban agglomerations >1million (percent),Nationally terrestrial protected areas (percent of total land area),Invest. in energy w/ private participation ($),Invest. in telecoms w/ private participation ($),Invest. in transport w/ private participation ($),Invest. in water/sanit. w/ private participation ($),Public sector mgmt & institutions avg. (1-6 scale; 6=best),Paved roads (percent of total roads),GDP ($),GNI per capita (Atlas $),Ratio of girls to boys in primary & secondary school (percent),Primary completion rate total (percent of relevant age group),Under-five mortality rate (per 1000),Access to improved water source (percent of total pop.),Nurses and midwives (per 1000 people),Physicians (per 1000 people),Malaria incidence rate (per 100000 people),Access to improved sanitation (percent of total pop.),Child malnutrition underweight (percent of under age 5),Population living below $1.25 a day (percent of total),Population growth (annual percent),Population,Urban population growth (annual percent),Urban population
Madagascar,2.1789692741,2697,12.4469664724,?,?,1910.507,0.0977427318,102.87285809,?,8.9791705655,2.8996536282,?,1.0215E8,?,?,3.6,?,9.39473659564505E9,400,96.519,71.24424,68.3,41,?,?,3735,11,?,?,2.9378695715,1.9546282E7,4.0963152353,5770062.4464
Maldives,?,2333.3,10.6959328774,?,?,920.417,2.9919416706,580.771490052,?,?,?,?,0,?,?,3.5,?,1.260234375E9,3670,?,112.91121,18.8,91,?,?,?,98,?,?,1.3394160362,307632,4.8881755194,116469.4752
Mexico,5.4547044761,3452.5,2.3988274859,126.5768258695,1636.9282486675,475833.587,4.3012366547,332.5966691055,?,34.9222475732,11.1166864902,5.62E8,3.8721E9,9.0508E8,?,?,35.28,1.09617633497708E12,9660,101.509,104.08986,18.6,94,?,?,3,85,?,1.79,1.2794519441,1.10627158E8,1.668809996,8.5404165976E7
Marshall Islands,?,?,3.6184210526,?,?,99.009,1.8723335855,?,?,?,3.0774163877,?,?,?,?,?,?,1.52E8,3530,103.166,101.2605,28.3,94,2.53,0.559,?,73,?,?,0.7459675656,52880,1.2537260613,37587.104
Middle income,?,3292.274984739,3.6934488994,226.8246641391,1258.7797785746,1.66038102595964E7,3.4517851026,622.9469859304,?,17.826356266,12.4734917932,5.320523E10,7.191055E10,2.524334E10,3.22861362E9,?,45,1.67950495912337E13,3149.1189244217,96.749,92.0325751346,54.3338294925,87.8400613416,?,?,2573.5689763131,56.4486217501,?,?,1.1047597939,4.81020972227663E9,2.2430612533,2.28184207318163E9
Macedonia,?,3536.8,5.9685987276,167.0218902264,1467.4673718797,11815.074,5.7563633848,655.1687020654,?,?,4.8460365013,?,1.316E8,2.95E8,?,?,56.54,9.83402881298014E9,4180,98.311,91.81624,12.3,100,?,?,?,89,?,0.29,0.2244634819,2052524,0.9746545471,1373138.556
Mali,?,1397.6,1.5069415982,?,?,594.054,0.041082601,44.197190813,?,10.781369835,2.4339778891,?,6.7E7,?,?,3.4,?,8.73808088251714E9,520,77.617,56.76499,184.8,56,0.3,0.049,25366,36,?,?,3.0844582365,1.445999E7,4.8399892148,4653224.782
Malta,22.2222222222,4489.4,9.9069149208,87.7048407283,1986.9401626411,2559.566,6.2132928753,274.2588187992,-0.0607794822,?,17.2361737862,?,?,?,?,?,87.53,8.41323093625171E9,18460,98.945,100.47374,6.3,100,?,?,?,100,?,?,0.7064584802,411950,0.9401282626,388304.07
Myanmar,?,3898.4,?,?,330.9898992208,12775.828,0.2703860916,?,?,10.9128711629,6.303754567,?,?,?,?,?,?,?,?,?,99.05288,70.2,71,0.8,0.457,7943,81,?,?,0.7104260688,4.7250315E7,2.757009128,1.5394152627E7
Middle East & North Africa,?,2016.165200147,3.1565445292,216.41696969,1388.7474934312,1230256.498,3.8441898051,604.5803948494,?,19.9783480404,4.0250946173,?,3.9418E9,?,?,?,74.32,1.11897955971043E12,3365.8226525223,93.15,90.08151587,36.0021814304,87.1862886409,?,?,?,84.1592175778,?,?,1.7594934836,3.20030113074644E8,2.2429063984,1.84005076673286E8
Montenegro,?,3334.5,21.2495593227,?,?,1950.844,3.100588857,293.7146753287,?,?,13.2542424374,?,5.55E7,?,?,?,?,4.51973194668229E9,6370,?,?,8.8,98,?,?,?,92,?,0.09,0.194567602,629185,-0.3688141698,378643.533
Mongolia,?,1382.8,15.0215613074,325.7505585492,1160.2392375708,10894.657,4.0842598653,1146.7031016598,?,?,13.387541137,?,0,?,?,3.3,?,5.62323670752472E9,1770,?,93.31725,36.1,76,3.5,2.763,?,50,?,?,1.6238126263,2667474,1.9040229673,1525261.6332
Northern Mariana Islands,?,?,?,?,?,?,?,?,?,?,1.1155701312,?,?,?,?,?,?,?,?,?,?,?,98,?,?,?,?,?,?,-2.5848309755,62707,-2.4750012006,57126.077
Mozambique,?,845.7,5.9812359886,542.0174935279,420.3913956539,2313.877,0.1036084431,133.5840582002,?,6.8261085663,15.8272739453,?,2.3E7,0,?,3.3,20.78,9.89126491512346E9,380,86.57,59.24422,144.1,47,?,?,32555,17,?,59.58,2.3631551385,2.23329E7,4.5031544997,8227440.36
Mauritania,?,768.6,9.4298303993,?,?,1998.515,0.6064828387,343.5811140319,?,?,0.536362679,?,4.0E7,?,?,3,?,3.58861173180747E9,960,?,64.23913,112.4,49,?,?,17325,26,16.7,?,2.5380261834,3295254,3.0270247128,1351054.14
Mauritius,21.4285714286,7894.7,3.9178849996,?,?,3953.026,3.1154301441,269.5524489619,?,?,4.4834457594,?,1.3E7,?,0,?,98.03,9.64103688844751E9,6890,100.465,90.13782,15.4,99,?,?,?,91,?,?,0.6453354338,1268854,0.7866782135,539009.1792
Malawi,0.5299707602,1598.6,4.1733418297,?,?,1228.445,0.087714037,120.0602113949,?,?,15.0172516583,?,5.72E7,?,?,3.4,?,4.07414355430153E9,280,99.373,57.91126,104.7,80,0.28,0.019,33773,56,?,?,3.0132105801,1.4005113E7,5.708791579,2632961.244
